,date,India,Germany,Italy,France,Russia,Germany_fitted,Italy_fitted,France_fitted,India_fitted,Russia_fitted
42,2020-06-01,198370.0,181815.0,233197.0,191301.0,414328.0,0.03530382491152096,233683.3875221776,3.6685470009228363,159404.24050762007,390998.4056933059
43,2020-06-02,207191.0,182028.0,233515.0,190654.0,423186.0,0.023453110812446852,234466.16452605097,2.705264912567071,167400.01427418986,404337.89155537466
44,2020-06-03,216824.0,182370.0,233836.0,187428.0,431715.0,0.015580419724365979,235222.7116343635,1.9949193795165563,175763.5655261406,417691.8532805611
45,2020-06-04,226713.0,182764.0,234013.0,191788.0,440538.0,0.010350416902725892,235952.8608524645,1.4710952024422999,184508.5007604263,431030.1844150974
46,2020-06-05,236184.0,183271.0,234531.0,192369.0,449256.0,0.006876010488615904,236656.45820551924,1.0848160975374554,193648.60690632073,444322.58600028825
47,2020-06-06,246622.0,183678.0,234801.0,192941.0,458102.0,0.004567885609534318,237333.36325087672,0.7999657589376508,203197.81998276044,457538.813076106
48,2020-06-07,257486.0,183979.0,234998.0,193282.0,467073.0,0.003034547287029568,237983.44948939251,0.589911181005762,213170.1903164095,470648.91607277846
49,2020-06-08,265928.0,184193.0,235278.0,193556.0,476043.0,0.0020159168794592515,238606.60429707507,0.4350125858048634,223579.84375307884,483623.483053793
50,2020-06-09,276146.0,184543.0,235561.0,194108.0,484630.0,0.0013392181910062881,239202.72874722068,0.3207871700759646,234440.9398735012,496433.8689898152
51,2020-06-10,286605.0,184861.0,235763.0,194733.0,493023.0,0.000889671024811769,239771.73792286127,0.23655500361597231,245767.62518696985,509052.4170875668
52,2020-06-11,297535.0,185416.0,236142.0,195097.0,501800.0,0.0005910277572400949,240313.5610506729,0.17444047992285208,257573.98286813594,521452.66138653463
53,2020-06-12,308993.0,185674.0,236305.0,195898.0,510761.0,0.0003926325765369556,240828.1407030224,0.12863596341466563,269873.98145463446,533609.5126714172
54,2020-06-13,320922.0,186022.0,236651.0,196395.0,519458.0,0.0002608341393628602,241315.4329774794,0.094858777967736,282681.4153295291,545499.4227765376
55,2020-06-14,332424.0,186269.0,236989.0,196785.0,528267.0,0.00017327779703599745,241775.40740660465,0.06995079246815054,296009.84337506106,557100.5251312386
56,2020-06-15,343091.0,186461.0,237290.0,196921.0,536484.0,0.0001151122111709911,242208.04714287634,0.051583137005446936,309872.52905460645,568392.7523362705
57,2020-06-16,354065.0,186839.0,237500.0,197584.0,544725.0,7.647150069563264e-05,242613.3484830657,0.038038454137819325,324282.36951185524,579357.9214952571
58,2020-06-17,366946.0,187184.0,237828.0,198073.0,552549.0,5.080123551682743e-05,242991.3207574884,0.02805033010348646,339251.8252301399,589979.8116476366
59,2020-06-18,380532.0,187764.0,238159.0,198659.0,560321.0,3.374943265010501e-05,243341.98619918743,0.020684883953064993,354792.85432843777,600244.1896387074
60,2020-06-19,395048.0,188534.0,238011.0,199446.0,568292.0,2.2420894467880283e-05,243665.37985713096,0.015253453888570058,370916.83316297823,610138.8392535661
